4K高清,#genre#
延边卫视,http://ott.mobaibox.com/PLTV/3/224/3221227002/index.m3u8



NewTV,#genre#
NEWTV海外剧场,http://ott.mobaibox.com/PLTV/3/224/3221227539/index.m3u8
NEWTV中国功夫,http://ott.mobaibox.com/PLTV/3/224/3221227530/index.m3u8
NEWTV军事评论,http://ott.mobaibox.com/PLTV/3/224/3221227544/index.m3u8
NEWTV军旅剧场,http://ott.mobaibox.com/PLTV/3/224/3221227603/index.m3u8
NEWTV农业致富,http://ott.mobaibox.com/PLTV/3/224/3221227588/index.m3u8
NEWTV动作电影,http://ott.mobaibox.com/PLTV/3/224/3221227606/index.m3u8
NEWTV家庭剧场,http://ott.mobaibox.com/PLTV/3/224/3221227600/index.m3u8
NEWTV怡伴健康,http://ott.mobaibox.com/PLTV/3/224/3221227612/index.m3u8
NEWTV惊悚悬疑,http://ott.mobaibox.com/PLTV/3/224/3221227536/index.m3u8
NEWTV明星大片,http://ott.mobaibox.com/PLTV/3/224/3221227594/index.m3u8
NEWTV武搏世界,http://ott.mobaibox.com/PLTV/3/224/3221227533/index.m3u8
NEWTV潮妈辣婆,http://ott.mobaibox.com/PLTV/3/224/3221227527/index.m3u8
NEWTV炫舞未来,http://ott.mobaibox.com/PLTV/3/224/3221227475/index.m3u8
NEWTV爱情喜剧,http://ott.mobaibox.com/PLTV/3/224/3221227548/index.m3u8
NEWTV精品体育,http://ott.mobaibox.com/PLTV/3/224/3221227615/index.m3u8
NEWTV精品大剧,http://ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8
NEWTV精品纪录,http://ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
NEWTV精品萌宠,http://ott.mobaibox.com/PLTV/3/224/3221228430/index.m3u8
NEWTV金牌综艺,http://ott.mobaibox.com/PLTV/3/224/3221227541/index.m3u8
NEWTV东北热剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NEWTV欢乐剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225742/index.m3u8



影视综合,#genre#
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港,http://ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8
黑莓电影,http://ott.mobaibox.com/PLTV/3/224/3221225567/index.m3u8
黑龙江影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226298/index.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
影视轮播1,http://ott.mobaibox.com/PLTV/3/224/3221228465/index.m3u8
影视轮播2,http://ott.mobaibox.com/PLTV/3/224/3221228598/index.m3u8
影视轮播3,http://ott.mobaibox.com/PLTV/3/224/3221228607/index.m3u8
影视轮播4,http://ott.mobaibox.com/PLTV/3/224/3221228604/index.m3u8
影视轮播5,http://ott.mobaibox.com/PLTV/3/224/3221228644/index.m3u8
影视轮播6,http://ott.mobaibox.com/PLTV/3/224/3221228666/index.m3u8
影视轮播7,http://ott.mobaibox.com/PLTV/3/224/3221228664/index.m3u8
影视轮播8,http://ott.mobaibox.com/PLTV/3/224/3221228669/index.m3u8
影视轮播9,http://ott.mobaibox.com/PLTV/3/224/3221228663/index.m3u8
影视轮播10,http://ott.mobaibox.com/PLTV/3/224/3221228713/index.m3u8
影视轮播11,http://ott.mobaibox.com/PLTV/3/224/3221228618/index.m3u8
影视轮播12,http://ott.mobaibox.com/PLTV/3/224/3221228716/index.m3u8
影视轮播13,http://ott.mobaibox.com/PLTV/3/224/3221228719/index.m3u8
影视轮播14,http://ott.mobaibox.com/PLTV/3/224/3221228725/index.m3u8
影视轮播15,http://ott.mobaibox.com/PLTV/3/224/3221228776/index.m3u8
影视轮播16,http://ott.mobaibox.com/PLTV/3/224/3221228779/index.m3u8
影视轮播17,http://ott.mobaibox.com/PLTV/3/224/3221228610/index.m3u8
影视轮播18,http://ott.mobaibox.com/PLTV/3/224/3221228615/index.m3u8
影视轮播19,http://ott.mobaibox.com/PLTV/3/224/3221228624/index.m3u8
影视轮播20,http://ott.mobaibox.com/PLTV/3/224/3221228627/index.m3u8
影视轮播21,http://ott.mobaibox.com/PLTV/3/224/3221228621/index.m3u8
影视轮播22,http://ott.mobaibox.com/PLTV/3/224/3221228641/index.m3u8
影视轮播23,http://ott.mobaibox.com/PLTV/3/224/3221227512/index.m3u8
影视轮播24,http://ott.mobaibox.com/PLTV/3/224/3221227579/index.m3u8

江苏综合,#genre#
江苏城市,http://ott.mobaibox.com/PLTV/4/224/3221228734/index.m3u8
江苏综艺,http://ott.mobaibox.com/PLTV/3/224/3221228731/index.m3u8
江苏影视,http://ott.mobaibox.com/PLTV/4/224/3221228728/index.m3u8
江苏教育,http://ott.mobaibox.com/PLTV/4/224/3221228613/index.m3u8
江苏新闻,http://ott.mobaibox.com/PLTV/4/224/3221228743/index.m3u8
江苏体育,http://ott.mobaibox.com/PLTV/4/224/3221225935/index.m3u8
苏州新闻综合,http://live-auth.51kandianshi.com/szgd/csztv1.m3u8
苏州社会经济,http://live-auth.51kandianshi.com/szgd/csztv2.m3u8
苏州文化生活,http://live-auth.51kandianshi.com/szgd/csztv3.m3u8
苏州电影娱乐信息,http://live-auth.51kandianshi.com/szgd/csztv4.m3u8
苏州生活资讯,http://live-auth.51kandianshi.com/szgd/csztv5.m3u8
苏州4K频道,http://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
南京影视,http://ott.mobaibox.com/PLTV/3/224/3221227719/index.m3u8
南京教科,http://ott.mobaibox.com/PLTV/3/224/3221227194/index.m3u8
南京娱乐,http://ott.mobaibox.com/PLTV/3/224/3221227722/index.m3u8
南京新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227213/index.m3u8
南京生活,http://ott.mobaibox.com/PLTV/3/224/3221227178/index.m3u8
宿迁综合,http://ott.mobaibox.com/PLTV/4/224/3221226944/index.m3u8
宿迁公共,http://ott.mobaibox.com/PLTV/3/224/3221226939/index.m3u8
南通2,http://ott.mobaibox.com/PLTV/3/224/3221228448/index.m3u8
南通3,http://ott.mobaibox.com/PLTV/3/224/3221228451/index.m3u8
南通新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221228462/index.m3u8
常州新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227752/index.m3u8
常州新闻综合,http://ott.mobaibox.com/PLTV/3/224/3221227899/index.m3u8
常州生活,http://ott.mobaibox.com/PLTV/3/224/3221227816/index.m3u8
常州生活,http://ott.mobaibox.com/PLTV/3/224/3221227902/index.m3u8
常州都市,http://ott.mobaibox.com/PLTV/3/224/3221227755/index.m3u8
常州都市,http://ott.mobaibox.com/PLTV/3/224/3221227955/index.m3u8
盐城1,http://ott.mobaibox.com/PLTV/3/224/3221228435/index.m3u8
盐城2,http://ott.mobaibox.com/PLTV/3/224/3221228433/index.m3u8
盐城3,http://ott.mobaibox.com/PLTV/3/224/3221228436/index.m3u8
徐州1,http://ott.mobaibox.com/PLTV/3/224/3221225945/index.m3u8
徐州2,http://ott.mobaibox.com/PLTV/3/224/3221225947/index.m3u8
