移动源,#genre#
NewTV精品大剧,http://ott.mobaibox.com/PLTV/3/224/3221227618/index.m3u8
NewTV精品纪录,http://ott.mobaibox.com/PLTV/3/224/3221227547/index.m3u8
NewTV精品萌宠,http://ott.mobaibox.com/PLTV/3/224/3221228430/index.m3u8
NewTV金牌综艺,http://ott.mobaibox.com/PLTV/3/224/3221227541/index.m3u8


影视,#genre#
凤凰资讯,http://ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226465/index.m3u8
黑莓电影,http://ott.mobaibox.com/PLTV/3/224/3221225567/index.m3u8
黑莓电影,http://ott.mobaibox.com/PLTV/3/224/3221227520/index.m3u8
黑莓电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225743/index.m3u8
1905,http://192.168.31.8:2345/1905.php?id=1905dy
cctv6,http://192.168.31.8:2345/1905.php?id=cctv6
求索纪录,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
求索生活,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
求索动物,http://39.134.65.162/PLTV/88888888/224/3221225730/index.m3u8
平台直播,#genre#
周星驰,http://192.168.31.8:35455/huya/11342412
极挑,http://192.168.31.8:35455/huya/11352914
林正英,http://192.168.31.8:35455/huya/11342421
成龙,http://192.168.31.8:35455/huya/11342386
周润发,http://192.168.31.8:35455/huya/11342387
李连杰,http://192.168.31.8:35455/huya/11342390
洪金宝,http://192.168.31.8:35455/huya/11279251
沈腾,http://192.168.31.8:35455/huya/11601968
强森,http://192.168.31.8:35455/huya/21059581
宇宙,http://192.168.31.8:35455/huya/11342428
警匪,http://192.168.31.8:35455/huya/11352886
枪战,http://192.168.31.8:35455/huya/21059579
盗墓,http://192.168.31.8:35455/huya/21059552
玄幻,http://192.168.31.8:35455/huya/11342414
战争,http://192.168.31.8:35455/huya/21059592
喜剧,http://192.168.31.8:35455/huya/11352877
港片,http://192.168.31.8:35455/huya/11602043
国产,http://192.168.31.8:35455/huya/11352973
梁家辉,http://192.168.31.8:35455/huya/11342429
斯坦森,http://192.168.31.8:35455/huya/21059588
古装,http://192.168.31.8:35455/huya/11336590
动作电影,http://192.168.31.8:35455/huya/11602077
古墓,http://192.168.31.8:35455/huya/11352913
女神,http://192.168.31.8:35455/huya/11336571
韩国,http://192.168.31.8:35455/huya/11352884
金刚长寿,http://192.168.31.8:35455/douyin/323370532291

百视通,#genre#
CCTV16-4K,http://192.168.31.8:2345/bestv.php?id=cctv16hd4k/15000000
CCTV-4K,http://192.168.31.8:2345/bestv.php?id=cctv4k/15000000
欢笑剧场4k,http://192.168.31.8:2345/bestv.php?id=hxjc4k/15000000
CCTV1 8M,http://192.168.31.8:2345/bestv.php?id=cctv1hd8m/8000000
CCTV2 8M,http://192.168.31.8:2345/bestv.php?id=cctv2hd8m/8000000
CCTV3 8M,http://192.168.31.8:2345/bestv.php?id=cctv38m/8000000
CCTV4 8M,http://192.168.31.8:2345/bestv.php?id=cctv4hd8m/8000000
CCTV5 8M,http://192.168.31.8:2345/bestv.php?id=cctv58m/8000000
CCTV5+ 8M,http://192.168.31.8:2345/bestv.php?id=cctv5phd8m/8000000
CCTV6 8M,http://192.168.31.8:2345/bestv.php?id=cctv6hd8m/8000000
CCTV7 8M,http://192.168.31.8:2345/bestv.php?id=cctv7hd8m/8000000
CCTV8 8M,http://192.168.31.8:2345/bestv.php?id=cctv8hd8m/8000000
CCTV9 8M,http://192.168.31.8:2345/bestv.php?id=cctv9hd8m/8000000
CCTV10 8M,http://192.168.31.8:2345/bestv.php?id=cctv10hd8m/8000000
CCTV11 8M,http://192.168.31.8:2345/bestv.php?id=cctv11hd8m/8000000
