央视,#genre#
CHC家庭影院,http://dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/TVOD/88888890/224/3221226465/index.m3u8
黑莓电影,http://ott.mobaibox.com/PLTV/3/224/3221225567/index.m3u8
1905国外电影,http://192.168.31.8:3456/1905.php?id=1905a
1905国内电影,http://192.168.31.8:3456/1905.php?id=1905b
CCTV6,http://192.168.31.8:3456/1905.php?id=cctv6
求索纪录,http://39.134.65.162/PLTV/88888888/224/3221225713/index.m3u8
求索生活,http://39.134.65.162/PLTV/88888888/224/3221225715/index.m3u8
求索科学,http://39.134.65.162/PLTV/88888888/224/3221225728/index.m3u8
求索动物,http://39.134.65.162/PLTV/88888888/224/3221225730/index.m3u8

斗鱼轮播,#genre#
橙記Orange丶,https://www.goodiptv.club/douyu/4549169
蓝翔新三国,https://www.goodiptv.club/douyu/5908256
韓美兮,https://www.goodiptv.club/douyu/2838296
baby丶贝贝,https://www.goodiptv.club/douyu/431460
单纯的顺才少爷,https://www.goodiptv.club/douyu/10084875
伊太刀刀,https://www.goodiptv.club/douyu/747764
进击的神乐,https://www.goodiptv.club/douyu/85894
吃奶滴虫,https://www.goodiptv.club/douyu/263824
牛叔说电影,https://www.goodiptv.club/douyu/2758565
辽台好物种草,https://www.goodiptv.club/douyu/9067836
UU娇哒哒呀,https://www.goodiptv.club/douyu/96577
小片片说大片,https://www.goodiptv.club/douyu/4258555
赵本山经典小品,https://www.goodiptv.club/douyu/9817716
火龙果说电影,https://www.goodiptv.club/douyu/9559158
万合出品,https://www.goodiptv.club/douyu/9220456
科幻Fans布玛,https://www.goodiptv.club/douyu/3508304
小约翰可汗,https://www.goodiptv.club/douyu/9738854
进击D神乐,https://www.goodiptv.club/douyu/122402
开心麻花经典小品,https://www.goodiptv.club/douyu/10153463
宋小宝小品,https://www.goodiptv.club/douyu/9817729
Rainsunn,https://www.goodiptv.club/douyu/323876
开心锤锤动漫,https://www.goodiptv.club/douyu/9018297
PP看动漫,https://www.goodiptv.club/douyu/9837291
刘哔电影,https://www.goodiptv.club/douyu/2632223
狂仔酷炫,https://www.goodiptv.club/douyu/252802
虫哥说电影,https://www.goodiptv.club/douyu/8915074
许君聪经典小品,https://www.goodiptv.club/douyu/10419558
自说自话的总裁,https://www.goodiptv.club/douyu/9317739
老高与小茉的死忠粉,https://www.goodiptv.club/douyu/236461
游钓中国李大毛,https://www.goodiptv.club/douyu/791411
美兮超可爱的,https://www.goodiptv.club/douyu/20415
大漠叔叔Dm,https://www.goodiptv.club/douyu/1109218
贾玲经典小品,https://www.goodiptv.club/douyu/10419541
是一坨蓝翔啊,https://www.goodiptv.club/douyu/276200
